text,label
"Objet : [tous.cergy] [BDAC] Derniers Jours pour t'inscrire à la BDAC x Scientific Game Jam !
Corps : [image: BDAC_Scientific_Game_Jam_Banner.png] Cliquez ici pour vous inscrire !",association
"Objet : [ing2-cergy] Green'Moov commande de paniers de légumes bio 16/04/25
Corps : Distribution Bio du 16/04 [image: 💚] Bonjour à tous ! [image: 💚] Nous vous annonçons que la prochaine distribution de légumes bio se tiendra le mercredi 16 avril de 17h30 à 18h30, au foyer du bâtiment Condorcet au site du Parc à Cergy. [image: ⚠️]N'oubliez pas de prendre un sac adapté pour transporter vos légumes Nous vendons cependant des sacs sur place pour 4€. Si vous souhaitez venir staffer, n'hésitez pas à venir en DM ! (on valide VSE pour 2 participations) Voici les paniers de la semaine ! ◇ Petit panier à 2€50 :🍂 750g pommes de terre 500g carottes 1 botte poireaux 1 botte de radis 2 céléris raves (petits) ◇ Grand panier à 5€ :🍂🍂 1kg pommes de terre 1kg carottes 750g d'oignons 1 botte poireaux 1 botte de radis 500g épinards 1 fenouil 1 chou vert Vous avez jusqu'à samedi 12 avril à 18h00 pour commander et payer votre panier bio : Commander mon panier 🥕Si vous souhaitez staffer à notre distribution, contactez @Rom1Stein sur Telegram, ou contactez-nous sur nos réseaux ci-dessous ! 2 staffs valideront votre UE VSE ""s'engager pour l'école"" si vous êtes éligible. Priorité à ceux qui ont l'UE en cas de surbooking des staffs.🥕 💚Écologiquement vôtre,💚 Le bureau de Green'Moov toujours aussi ravi de vous faire manger plus de légumes bios [image: Instagram] [image: Telegram]",association
"Objet : [tous.cergy] [BDAC] Scientific Game Jam – Défiez-vous, gagnez des prix & repoussez les limites !
Corps : [image: bdac_c.png] https://www.helloasso.com/associations/bdac/evenements/inscription-bdac-x-scientific-game-jam-2025",association
"Objet : [tous.cergy] [IDENTITÉS REMARQUABLES - JOB] RECRUTEMENT STAGE AVRIL 2025
Corps : Bonjour, J'espère que vous allez bien. Comme chaque vacances, notre association est à la recherche de personnes *dynamiques *pour animer nos cours en petits groupes. Étant une association située à Montigny-Lès-Cormeilles dans le bassin étudiant et ayant eu plusieurs expériences positives et de qualité nous souhaitons renouveler ce partenariat. *Nous organisons un nouveau stage qui se déroulera pendant le mois d'Avril 2025 (du 21 au 24 Avril inclus)*. C'est une occasion unique de partager vos connaissances et votre enthousiasme avec nos jeunes participants, tout en acquérant de nouvelles compétences et en créant des souvenirs inoubliables. Toutes les informations détaillées sont disponibles dans le lien suivant, où vous trouverez également le formulaire d'inscription : https://forms.gle/UkvJaYWfeKsGU9dB7 *Si vous connaissez des amis ou des proches qui pourraient être intéressés par cette opportunité, n'hésitez pas à partager le lien avec eux*. Cela me permettra de les contacter directement. Nous sommes impatients de vous retrouver et de travailler ensemble. Si vous avez des questions n'hésitez pas à nous contacter :) Cordialement, *PS : Nous pouvons vous accueillir afin de réaliser vos stages étudiants et/ou vos UE ENGAGEMENT CITOYEN (demander le document à signer auprès de votre établissement).Pour cela, merci de nous le préciser en commentaire du formulaire.* *Association Identités Remarquables. *",association
"Objet : [tous.cergy] 🚨 Conférence IA & Finance – Liste d’attente ouverte ! 🚨
Corps : 🚨 Conférence IA & Finance – Liste d’attente ouverte ! 🚨 La conférence organisée avec Société Générale, en partenariat avec les associations *CARIOCA *(ESSEC), *AT ALL COST *et *FORWARD *(CYTECH), ainsi que *EPMI FINARY *(ECAM-EPMI), *affiche complet *! Mais tout n’est pas perdu 👀 *Tu peux encore tenter ta chance : inscris-toi sur la liste d’attente en cliquant ci-dessous. * *Si des désistements ont lieu ou que des places ne sont pas confirmées, nous recontacterons les inscrits à cette liste dans l’ordre d’inscription entre le 4 et le 8 avril.* S'inscrire ici Restez informé : 🔹 La demande est forte et les places très limitées, alors *si tu veux participer à ce type d’événements à l’avenir, reste attentif et montre ton intérêt !* 🔹 *Rejoins notre canal Telegram 2024-2025 *pour poser tes questions et recevoir nos actus plus rapidement : 👉 *Canal Telegram AAC 2024-2025 * Organisé par SG & 4 associations étudiantes de l’ESSEC, CY Tech et ECAM-EPMI.",association
"Objet : [tous.cergy] [BDAC] Rejoins notre bureau pour 2025-2026 – C'est ta chance ! 🎨
Corps : [image: Logo] 🚨 Rejoins le bureau du BDAC pour l'année prochaine ! 🎨 Si tu veux rejoindre une équipe dynamique et participer à des projets créatifs, le BDAC recherche de nouveaux membres pour l'année prochaine ! Remplis simplement ce formulaire pour nous faire savoir que tu es intéressé(e) : 👉 *Remplis le formulaire ici * Nous avons hâte de t'accueillir et de collaborer ensemble pour rendre l'année encore plus créative ! [image: Discord] [image: Instagram] [image: Telegram]",association
"Objet : [tous.cergy] Inscrivez-vous à la Scientific Game Jam organisée par le BDAC !
Corps : [image: Logo] Inscris toi à la BDAC X Scientific Game Jam 2025 [image: Logo] Participez à la *BDAC x Scientific Game Jam 2025* et créez un jeu vidéo inspiré par la science avec des étudiants et des scientifiques ! 📅 *Quand ?* L'événement commence le *9 avril à 17h45* ⏰ et se termine le *11 avril à 19h30* 🎉. 📍 *Où ?* À CY Tech, Site du Parc, Amphithéâtre Turing, Av. du Parc, 95000 Cergy Toutes les informations sont disponibles sur la page d'inscription. *Inscrivez-vous dès maintenant sur HelloAsso avant le 4 avril 2025 !* Participer Découvrez le site de la *Scientific Game Jam * et explorez les jeux des éditions précédentes ! Bien Artistiquement, ton BDAC 🖍️✂️🎨 [image: Discord] [image: Instagram] [image: Telegram]",association
"Objet : [tous.cergy] Rejoins CYJE, une association différente - L'opportunité parfaite pour booster ton avenir !
Corps : Booste ton avenir avec CYJE - Nous recrutons ! Hello, Tu veux développer tes compétences, travailler sur des projets concrets et valoriser ton CV avec une expérience professionnalisante ? C'est le moment de rejoindre CY Junior Engineering ! Une Junior-Entreprise, c'est quoi ? 💡C'est une association étudiante qui fonctionne comme une mini-entreprise : nous réalisons des missions pour des professionnels, ce qui permet aux étudiants de mettre en pratique leurs connaissances tout en gagnant en expérience. Une occasion unique d'apprendre, d'entreprendre et de se challenger ! Pourquoi nous rejoindre ? - Expérience concrète : applique ce que tu apprends en cours sur des projets réels ; - Boost pour ton CV : une ligne qui fait la différence auprès des recruteurs ; - Réseau professionnel : connecte-toi avec des entreprises et d'anciens membres ; - Évolution personnelle : gagne en autonomie, en organisation et en leadership. Que tu sois créatif, rigoureux, ambitieux ou curieux, il y a forcément une place pour toi dans notre équipe ! Comment postuler ? Il te suffit de rejoindre notre groupe Telegram des candidats, dans lequel nous vous enverrons toutes les informations dont tu as besoin. Rejoindre le groupe Telegram Pour plus d'informations, n'hésite pas à nous contacter à secretariat@cyje .fr, ou à passer nous voir au local CYJE, en CY210, bâtiment Cauchy au site du Parc. A très bientôt, L'équipe de CYJE",association
"Objet : [tous.cergy] Assemblé Générale Guilde
Corps : [image: La Guilde] Assemblée Générale Guilde [image: Assemblée Générale Guilde] *Assemblée Générale : L'avenir de notre association est entre vos mains !* 📅 *Jeudi 3 avril, 14h30 - 17h, salle CY211* Participez à notre Assemblée Générale pour faire le point sur l’année écoulée et construire la nouvelle de la Guilde ! *À l’ordre du jour :* - *Élection du nouveau bureau :* Votre participation est essentielle pour élire les membres qui dirigeront notre association. - *Bilan des activités :* Revue des activités de l’année, points forts et points à améliorer. Vos avis avis sur notre années seront aussi précieux pour le nouveau bureau! - *Présentation du projet d’activités pour l’année à venir :* Découvrez les activités que le nouveau burreau envisage pour l'année suivante. - *Point sur la trésorerie :* Présentation du bilan financier de l’année. Voir l'événement sur Tekiens.net [image: Discord] [image: Telegram] [image: Facebook] [image: Instagram @laguilde_cergy] La Guilde - Jeux de société / Jeux de role CY 211 - Cergy",association
"Objet : [ing2-cergy] [cpi1-cergy] [tous.cergy] Questionnaire pour projet sur le parvis
Corps : Bonjour ! Nous sommes étudiants en PREING2-GC et réalisons un projet sur la vivification du parvis de Cergy Préfecture. Pour cela il nous est très important de connaitre les ressentis et besoins des usagers, c’est pourquoi nous sollicitons votre aide. Voici le lien pour répondre à un rapide questionnaire : https://forms.gle/RGhXVpHfUcUfn7ZFA Merci pour votre coopération ! Cordialement, Lucy Camardese PREING2-GC",sondage
"Objet : [ing2-cergy] [tous.cergy] Questionnaire sur le Parvis de Cergy
Corps : Bonjour à tous et à toutes, Dans le cadre de notre projet de fin d'année qui vise à vivifier le parvis de Cergy préfecture, nous avons réalisé un questionnaire afin de connaître les habitudes et les avis de chacun sur celui-ci. Le questionnaire est court et se remplit en quelques minutes. Voici le lien du questionnaire : https://forms.gle/Vq5YwMQDmFv6ph6x7 Merci de votre participation Bien cordialement Pré-ing 2 GC3",sondage
"Objet : [ing2-cergy] Transformez vos salles à CY Tech : donnez votre avis !
Corps : Bonjour à toutes et à tous, Dans le cadre d’une étude visant à optimiser l’utilisation des salles des sites de Fermat et du Parc (bâtiments Cauchy et Turing) à CY Tech, nous sollicitons votre participation. L’objectif de cette étude est d’identifier les besoins des étudiants, des enseignants et des associations afin d’élaborer un cahier des charges qui servira de référence pour l’aménagement des salles concernées. Ces espaces, destinés à un *usage collaboratif*, ne sont pas des salles de service et doivent répondre aux besoins variés des utilisateurs. Votre avis est donc essentiel pour proposer des solutions adaptées aux usages réels. Nous vous invitons à répondre à un formulaire conçu pour recueillir vos attentes et expériences. Il est anonyme et prend *10 minutes* à remplir. Accéder au formulaire ⏳ Date limite de réponse : *30/03/2025* Votre contribution nous aidera à formuler des scénarios pertinents pour l’aménagement des salles et à garantir que celles-ci répondent au mieux à vos besoins. Merci par avance pour votre participation ! [image: Image description]",sondage
"Objet : [ing2-cergy] Questionnaire sur les mobilités douces
Corps : Bonjour, Dans le cadre d’un projet visant à favoriser les mobilités douces à Cergy, nous souhaitons recueillir vos habitudes en matière de déplacement ainsi que les problématiques que vous rencontrez pour proposer un aménagement adapté aux besoins des usagers. Lien du questionnaire Merci d'avance pour votre participation. PréIng2 GC 05",sondage
"Objet : [ing2-cergy] Enquête sur le parvis!
Corps : Chers étudiants, Dans le cadre de note projet en pré-ing2 , nous avons préparé un court questionnaire afin de recueillir vos avis et expérience. Votre participation est précieuse et ne vous prendra que quelques minutes . Vos réponses resteront confidentielles et contribueront à notre projet. Voici le lien de notre questionnaire: https://docs.google.com/forms/d/e/1FAIpQLSdlthSxpPUyFKCZVmke3UDr2Gsv4NkMBXUwK8oQKV2VJPgAqg/viewform Bien cordialement Pre-ing2 MI-3 04",sondage
"Objet : [tous.cergy] Rejoins CYJE, une association différente - L'opportunité parfaite pour booster ton avenir !
Corps : Booste ton avenir avec CYJE - Nous recrutons ! Hello, Tu veux développer tes compétences, travailler sur des projets concrets et valoriser ton CV avec une expérience professionnalisante ? C'est le moment de rejoindre CY Junior Engineering ! Une Junior-Entreprise, c'est quoi ? 💡C'est une association étudiante qui fonctionne comme une mini-entreprise : nous réalisons des missions pour des professionnels, ce qui permet aux étudiants de mettre en pratique leurs connaissances tout en gagnant en expérience. Une occasion unique d'apprendre, d'entreprendre et de se challenger ! Pourquoi nous rejoindre ? - Expérience concrète : applique ce que tu apprends en cours sur des projets réels ; - Boost pour ton CV : une ligne qui fait la différence auprès des recruteurs ; - Réseau professionnel : connecte-toi avec des entreprises et d'anciens membres ; - Évolution personnelle : gagne en autonomie, en organisation et en leadership. Que tu sois créatif, rigoureux, ambitieux ou curieux, il y a forcément une place pour toi dans notre équipe ! Comment postuler ? Il te suffit de rejoindre notre groupe Telegram des candidats, dans lequel nous vous enverrons toutes les informations dont tu as besoin. Rejoindre le groupe Telegram Pour plus d'informations, n'hésite pas à nous contacter à secretariat@cyje.fr, ou à passer nous voir au local CYJE, en CY210, bâtiment Cauchy au site du Parc. A très bientôt, L'équipe de CYJE",association
"Objet : [tous.cergy] Questionnaire à remplir
Corps : Bonjour a tous, Vous trouverez sur le lien ci-dessous un questionnaire à remplir pour aider une étudiante à valider sa licence. En comptant sur votre soutien. https://docs.google.com/forms/d/1KvBHmOwD-h1IG1_aYCd00ywVtTTlpq5NXxu2xTbBjqM/edit Cordialement,",sondage
"Objet : [tous.cergy] Questionnaire à remplir
Corps : Bonjour à tous, Dans le cadre d'un projet pour valider ma licence, j'ai besoin que vous remplissiez le questionnaire suivant sur Google Form. Cela vous prendra seulement 3 minutes. En vous remerciant pour votre soutien. RentAPower - Survey - Google Forms Bien cordialement, Lorine Carpentier Etudiante à CY",sondage
"Objet : [ing2-cergy] Participez a notre sondage sur le compostage en ville !
Corps : Bonjour, Dans le cadre d’un projet à CY Tech sur le compostage en milieu urbain, nous réalisons un petit sondage et nous aurions besoin de votre aide ! Cela ne vous prendra moins de 5 minutes et vos réponses nous aideront à mieux comprendre les habitudes et les freins liés au compostage en ville. 📋 Lien du questionnaire : https://docs.google.com/forms/d/e/1FAIpQLSemPlwDStoj_CWaBmQRIpVKK08OdJkgCNpeMTv884pDfoz6ow/viewform Un grand merci pour votre participation ! Et n’hésitez pas à partager ce questionnaire autour de vous. À bientôt, Tous les groupes de Preing2 Projet 2 à CY Tech",sondage
"Objet : [ing2-cergy] Green'Moov commandes paniers de légumes 18/03/2025
Corps : Distribution Bio du 18/03 [image: 💚] Bonjour à tous ! [image: 💚] Nous vous annonçons que la prochaine distribution de légumes bio qui se tiendra le mardi 18 mars de 17h30 à 18h30, au foyer du bâtiment Condorcet au site du parc. [image: ⚠️]N'oubliez pas de prendre un sac adapté pour transporter vos légumes Nous vendons cependant des sacs sur place pour 4€. Si vous souhaitez venir staffer, n'hésitez pas à venir en DM ! (on valide VSE pour 2 participations) Voici les paniers de la semaine ! ◇ Petit panier à 2€50 :🍂 500g pommes de terre 500g carottes 1 botte poireaux 400g d'oignons 500g d'épinards ◇ Grand panier à 5€ :🍂🍂 1kg pommes de terre 1kg carottes 500g d'oignons 1 botte poireaux 2 panais 500g épinards 2 choux chinois Pak Choi Vous avez jusqu'à samedi 15 mars à 18h pour commander et payer votre panier bio : Commander mon panier 🥕Si vous souhaitez staffer à notre distribution, contactez @Rom1Stein sur telegram, ou contactez-nous sur nos réseaux ci-dessous ! 2 staffs valideront votre UE VSE ""s'engager pour l'école"" si vous êtes éligible. Priorité à ceux qui ont l'UE en cas de surbooking des staffs.🥕 💚Écologiquement vôtre,💚 Le bureau de Green'Moov toujours aussi ravi de vous faire manger plus de légumes bios [image: Instagram] [image: Telegram]",association
"Objet : [tous.cergy] Journée de campagnes des Sunset
Corps : *Tequi-La-La Night* Chers étudiants, Les Sunset vous invitent à une journée et une soirée exceptionnelles dans le cadre de la campagne BDE ! Mardi 11 mars, retrouvez-nous dès 8h autour d’un petit-déjeuner et tout au long de la journée pour diverses activités, jusqu’au dîner du soir. Puis, place à LA soirée de campagne : Tequi-La-La Night ! ☝ Lieu : L’Étincelle – 61 ZA Les Quatre Vents, 95650, Boissy-l’Aillerie Horaires : 22h - 4h 💰Tarifs : - Étudiantes EISTI : 0€ - Étudiants EISTI (Pré-ING compris) : 5€ - Extérieurs : 14€ - Sur place : 16€ 👉 Prenez votre billet dès maintenant : Billetterie 🚌 Navettes : - Aller : 22h - 00h, départ : Aux Montalants, 13 boulevard de l’Hautil - Retour : 2h - 4h ℹ️ Infos complémentaires : - Vestiaire gratuit sur place - Places nominatives = pas de revente - Entrée interdite aux mineurs - Carte d’identité/étudiant exigée - La direction se réserve tout droit d’entrée - L’abus d’alcool est dangereux pour la santé - Nous ne sommes pas responsables en cas de vol et/ou perte d’objets personnels Rejoignez-nous pour une journée et une nuit mémorables ! Scénaristiquement vôtre, Les Sunset",association
"Objet : [tous.cergy] Fwd: BILLETTERIE 20000 GUEUX SAOULS LES BIÈRES
Corps : ---------- Forwarded message --------- De : Théø Date: dim. 9 mars 2025 à 18:07 Subject: BILLETTERIE 20000 GUEUX SAOULS LES BIÈRES To: *CALYPSO* *20000 GUEUX **SAOULS LES BIÈRES* * Les Calypso vous plongent au plus profond des abysses, réussirez vous à remonter à la surface ?* 🌊💙🐍 📅 Jeudi 13 mars 📍 Les Salons de Victoria (anciennement L’Étincelle) – 61 ZA Les Quatre Vents, 95650 Boissy-l’Aillerie 🕰️ Plongez de 22h à 4h 💰 LES TARIFS 💰 🧜‍♂️ EISTIENS : 5€ 🧜‍♀️ EISTIENNES : 0€ 🐳 EXTÉS : 14€ 🦐 SUR PLACE : 16€ 🚢TRANSPORT🚢 ➡️ Aller : 21h45 - 00h ⬅️ Retour : 2h - 4h 📍Point de Départ : 13 Boulevard de l’Hautil, en face de l’Essec 🐳 POUR PLUS D'INFOS 🐳 Vestiaire gratuit à disposition ! Entrée interdite aux mineur(e)s. Carte d’identité/carte étudiant obligatoire ! Place nominative pas d'échange/revente. L’abus d’alcool est dangereux pour la santé ! (c'est une question de MORPHOLOGIE 🤓) ⚠️ATTENTION⚠️ -La direction se réserve tout droit d’entrée. -Nous ne sommes pas responsables en cas de vols ou de pertes. Si jamais une situation te met mal à l'aise n'hésite surtout pas et rapproche toi d'un staffeur Calypso Nous vous attendons avec impatience ! BILLETERIE [image: Ig] [image: Fb] [image: Telegram] [image: Yt] [image: World]",association
"Objet : [ing2-cergy] GALA Promo 2024 - Prend vite ta place !
Corps : *Le BDE Sherkan vous convie au Gala 2025 pour célébrer la remise de diplôme de la promo 2K24 dans un cadre exceptionnel. * *Date : *Samedi 29 mars 2025 *Lieu : *Château d’Hénonville - 36 rue bamberger, 60119 HÉNONVILLE * Horaires : * - *Cocktail : *20h - 21h - *Dîner : *21h - 23h30 -* Soirée :* 23h30 - 4h * (sans prendre en compte le passage à l’heure d’été)* *TARIFS & RÉSERVATIONS* *Cotisants BDE *: Dîner + Soirée : *80€ * Soirée seule : *18€ * *Non-cotisants *: Dîner + Soirée : *85€ * Soirée seule : *23€ * *P.S : *les inscriptions pour Diner + Soirée se terminent *Vendredi 14 mars à 12h00* *NAVETTE * Le shotgun des navettes aura lieu le vendredi *14 mars à 16h05* *( sur notre canal telegram)* *Nombre de places limité* Prix de la navette : *5€* *INSCRIPTION* Tu n’as qu’à remplir le formulaire et effectuer le paiement indiqué dans le mail de confirmation que tu recevras ! *(Plus de détails sur les amuse-bouches, cocktails et desserts sur le form )* FORMULAIRE *VESTIAIRE GRATUIT ! * *ECOCUPS GRATUITS* *MENU EN PJ* [image: Fb] [image: Inst] *BDE Sherkan* *2 rue Lebon, 95000 Cergy*",association
"Objet : [ing2-cergy] [tous.cergy] Commande de pull de promo 2024/2025
Corps : Bonjour à toutes et à tous 👋 ! Le concours pour le design du pull de promo 2024/2025 est terminé ! 🥳 Voici le design gagnant, réalisé par *Clémentine* ✨: Le pull est proposé au prix de *32€ l'unité*. Pour commander le vôtre, il vous suffit de cliquer sur le lien *ci-dessous ⬇️* Formulaire 📆 Vous avez jusqu'au *samedi 06 mars 2025** à **23h59 *pour passer votre commande. Après cette date, il ne sera plus possible de commander ! Merci à toutes et à tous pour votre participation et à *Clémentine* pour son super design ! 👏 Ton BDE 💚 [image: Fb] [image: Inst] BDE Sherkan 2 rue Lebon, 95000 Cergy",association
